Area Code (FAO),Year,Value
7,1963,-0.181
7,1964,-0.207
7,1965,-0.201
7,1966,0.182
7,1967,-0.067
7,1968,-0.191
7,1969,0.182
7,1970,0.245
7,1971,-0.073
7,1972,-0.095
7,1973,0.471
7,1974,-0.161
7,1975,-0.029
7,1976,-0.328
7,1977,0.274
7,1978,0.043
7,1979,0.301
7,1980,0.289
7,1981,-0.063
7,1982,0.167
7,1983,0.473
7,1984,0.667
7,1985,0.694
7,1986,0.154
7,1987,0.731
7,1988,0.634
7,1989,0.079
7,1990,0.787
7,1991,0.448
7,1992,0.606
7,1993,0.34
7,1994,0.295
7,1995,0.827
7,1996,0.455
7,1997,0.3
7,1998,1.206
7,1999,0.499
7,2000,0.248
7,2001,0.326
7,2002,0.759
7,2003,0.948
7,2004,0.397
7,2005,1.084
7,2006,0.455
7,2007,0.753
7,2008,0.409
7,2009,0.64
7,2010,1.16
7,2011,0.828
7,2012,0.528
7,2013,0.97
7,2014,0.776
7,2015,1.319
7,2016,1.733
7,2017,0.952
7,2018,1.26
7,2019,1.752
7,2020,1.057
258,1961,0.039
258,1962,0.005
258,1963,0.203
258,1964,0.127
258,1965,-0.344
258,1966,0.062
258,1967,-0.22
258,1968,-0.309
258,1969,0.299
258,1970,0.05
258,1971,-0.32
258,1972,-0.148
258,1973,0.189
258,1974,-0.362
258,1975,-0.35
258,1976,-0.449
258,1977,0.163
258,1978,0.102
258,1979,0.002
258,1980,0.684
258,1981,0.519
258,1982,0.097
258,1983,0.486
258,1984,0.051
258,1985,-0.065
258,1986,-0.041
258,1987,0.505
258,1988,0.369
258,1989,-0.128
258,1990,0.264
258,1991,0.256
258,1992,0.199
258,1993,0.369
258,1994,0.429
258,1995,0.476
258,1996,0.229
258,1997,0.39
258,1998,0.975
258,1999,0.456
258,2000,0.114
258,2001,0.471
258,2002,0.573
258,2003,0.689
258,2004,0.374
258,2005,0.656
258,2006,0.441
258,2007,0.699
258,2008,0.166
258,2009,0.421
258,2010,0.931
258,2011,0.327
258,2012,0.492
258,2013,0.587
258,2014,0.611
258,2015,0.87
258,2016,0.963
258,2017,0.702
258,2018,0.532
258,2019,0.766
258,2020,1.154
30,1961,0.28
30,1962,-0.227
30,1963,0.136
30,1964,-0.366
30,1965,-0.098
30,1966,-0.24
30,1967,0.133
30,1968,-0.088
30,1969,-0.256
30,1970,-0.133
30,1971,0.28
30,1972,0.621
30,1973,0.011
30,1974,0.169
30,1975,0.177
30,1976,-0.634
30,1977,0.25
30,1978,-0.118
30,1979,-0.234
30,1980,0.565
30,1981,0.706
30,1982,-0.031
30,1983,-0.693
30,1984,0.131
30,1985,0.18
30,1986,-0.269
30,1987,-0.699
30,1988,0.955
30,1989,-0.437
30,1990,0.289
30,1991,0.677
30,1992,0.334
30,1993,-0.728
30,1994,-0.206
30,1995,-0.27
30,1996,0.799
30,1997,-0.543
30,1998,-0.47
30,1999,-0.581
30,2000,-0.765
30,2001,-0.049
30,2002,1.272
30,2003,-0.463
30,2004,0.141
30,2005,0.888
30,2006,-0.067
30,2007,0.694
30,2008,0.617
30,2009,1.354
30,2010,0.825
30,2011,0.738
30,2012,-0.202
30,2013,1.75
30,2014,0.559
30,2015,-0.085
30,2016,0.229
30,2017,0.773
30,2018,1.451
30,2019,0.638
30,2020,0.779
8,1961,-0.005
8,1962,0.015
8,1963,0.252
8,1964,0.101
8,1965,-0.409
8,1966,0.167
8,1967,-0.152
8,1968,-0.276
8,1969,0.263
8,1970,0.063
8,1971,-0.294
8,1972,-0.19
8,1973,0.221
8,1974,-0.349
8,1975,-0.4
8,1976,-0.472
8,1977,0.157
8,1978,0.135
8,1979,0.128
8,1980,0.663
8,1981,0.567
8,1982,0.19
8,1983,0.474
8,1984,-0.023
8,1985,-0.089
8,1986,-0.077
8,1987,0.583
8,1988,0.322
8,1989,-0.177
8,1990,0.241
8,1991,0.318
8,1992,0.276
8,1993,0.364
8,1994,0.373
